Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","81937.57","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","3168","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","3195","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","3238","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","3270","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","3308","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3341","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","50486553.21","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","51380895.85","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","52484253.76","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","53401925.54","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","54371915.95","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","55218109.52","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2550","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2567","E","Estimated value"
